,Datetime,Tweet Id,Text,Username,Place,Coordinates,UserLocation
11,2015-03-02 09:46:16+00:00,572332083542016002,RT @colonelkickhead: Even with how bad Nikki &amp; Katie did producers are still standing by with a tranquiliser gun to take Tony down when he …,arlo_dog,,,"off the leash, Sydney"
12,2015-03-02 09:46:11+00:00,572332063191265280,Did he call the spatchcock a chicken? 😅 #MKR,paulypmc,"Place(fullName='Glenorchy, Hobart', name='Glenorchy', type='neighborhood', country='Australia', countryCode='AU')","Coordinates(longitude=147.23900784, latitude=-42.86948004)"," Hobart, Tasmania"
13,2015-03-02 09:44:36+00:00,572331661800546304,“@narryyymate: Drasko and Steve are trying to impress Collin so bad #MKR” Wait til the hair pulling &amp; slapping starts.,SueKennedy19,,,
14,2015-03-02 09:43:30+00:00,572331387090444289,mmmm #MKR getting v boring @lisamromano @garydlum switching to #Simpsons double ep on 11 now 🍩🍩🍩 mmmm http://t.co/OCSY7cRGhF,YumchaAddict,,,Sydney Australia
15,2015-03-02 09:43:02+00:00,572331268270002176,"""Sass"" 😆😈😆
RT @arna_jane: They say sass one more time I'll throw the remote through the tv #MKR",josuhakeegan,,,"Brisbane, Queensland"
16,2015-03-02 09:42:19+00:00,572331086266564608,"“@jgto: Steve’s starting to annoy me #MKR”

Just NOW?!?!?  😄😃😀",LoadTaker35,,,Townsville Australia
17,2015-03-02 09:41:06+00:00,572330783152599040,"“@4Cate: Has Colin outside for a smoke  #mkr”

And that's NOT menthol you're smelling...",LoadTaker35,,,Townsville Australia
18,2015-03-02 09:40:34+00:00,572330647252955137,"If life hands you lemons, ask it why it has hands. #MKR #MKR2015 🍴",Imrealwill,,,
19,2015-03-02 09:40:32+00:00,572330639443165184,RT @stweet_heart: I'm amazed that #mkr could actually find a tweet of mine acceptable for television ... Clearly there's not enough swearin…,girlwhowrites,,,Australia
20,2015-03-02 09:40:14+00:00,572330565417889792,These girls are not there for the cooking #MKR  What a joke. 👎👎 👎,AusTracey,,,Australia
21,2015-03-02 09:39:27+00:00,572330367249616897,"“@emmadaisy___: They won't mind if it's not perfectly presented.

Really girls? Really? #MKR” says the girls who are ""All about pretty!""",arlo_dog,,,"off the leash, Sydney"
22,2015-03-02 09:39:13+00:00,572330309141716993,mmmm #MKR Forget Deconstruction @lisamromano @garydlum @mattsparks88 THIS is Lemon Tart 🍋🍋🍋 mmmm http://t.co/iiLigXbbzw,YumchaAddict,,,Sydney Australia
23,2015-03-02 09:38:35+00:00,572330150081134594,"“@jgray0711: Refined &amp; pretty....again not the words I'd choose
#mkr” Fuck &amp; shit would be my choice.",SueKennedy19,,,
24,2015-03-02 09:36:02+00:00,572329507283083264,Dad just thought that Will &amp; Steve were step father and son! Hahahahaha 😂 #MKR,cizzamate,,,australia.
25,2015-03-02 09:34:44+00:00,572329180198776833,shhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh #MKR — watching MKR Australia,MRCOFFEE76,,,
26,2015-03-02 09:33:36+00:00,572328894855966720,This part of the show is so awkward rn 😁😁 #MKR,erfaanarif,,,"Sydney, Australia"
27,2015-03-02 09:33:02+00:00,572328752602071041,"Oh damn, she got it working! 😦 #mkr",Beck180275,,,"Sydney, Australia"
28,2015-03-02 09:31:58+00:00,572328485181521920,"Nicki's ""that's not good"" pout bought to you by Botox[™].

#MKR",finicalgal,,,"Melbourne, Australia."
29,2015-03-02 09:31:32+00:00,572328372476375041,"RT @TheFIXninemsn: Can we stop deconstructing desserts please? Let's start a campaign, let's get some names on a clipboard, let's start a m…",SydneyEditor1,,,Sydney
30,2015-03-02 09:31:12+00:00,572328292319014912,"“@SeaEph: It's got sass?

I obviously don't know wot sass is

#MKR”

Mostly just ASS I think...",LoadTaker35,,,Townsville Australia
31,2015-03-02 09:30:19+00:00,572328066715820032,"“@squishilicious: A preview of the main #MKR (ok, actual food served to me by Gosford Hospital). Mmm carrots. http://t.co/KkOciqce8j” WTF!!",SueKennedy19,,,
32,2015-03-02 09:30:02+00:00,572327998218637313,"RT @mickystre: “@stweet_heart: I still refuse to believe that his real name is Drasko!
I'm sure that Drasko is a Drain Cleaner in Poland #M…",ShadowerCatcher,,,
33,2015-03-02 09:29:53+00:00,572327957592608768,RT @PetaPan17: hahahaha Drasko HAS to be different to everyone else’s opinion #mkr,SKR_16,,,
34,2015-03-02 09:29:42+00:00,572327911375519744,"“@kitteh09: “@Oh_so_offensive: Next minute this is Steve and drasko in the corner.. #mkr http://t.co/bIdM5N2BrD” is it cooked though?”
ROFL",LoadTaker35,,,Townsville Australia
35,2015-03-02 09:29:25+00:00,572327840059932672,RT @GordyPls: I have that actual model icecream churner. They should've just done what I do and emptied three Smirnoff Ices into it. #mkr #…,Renerzzz,,,"Melbourne
"
36,2015-03-02 09:28:16+00:00,572327554528374784,“@OFFICIAL_TAY_AU: @mykitchenrules THE #KillerBlondes RIGHT NOW 😂😜💁 #MKR http://t.co/KjvHQhHIwS” lmaooooo,mattytattat,,,"Sydney, Australia"
37,2015-03-02 09:26:50+00:00,572327192530583552,“@squishilicious: How do you deconstruct a lemon tart? ... #mkr” I think you drop it on the floor then scrape it into a bowl,arlo_dog,,,"off the leash, Sydney"
38,2015-03-02 09:25:52+00:00,572326950057844736,RT @colonelkickhead: Deconstructed lemon tart!....can we please go just one season of #MKR without someone calling something deconstructed.…,No_KitchenRules,,,
39,2015-03-02 09:24:32+00:00,572326612114399232,"When life gives you lemon tart, Instagram photos of them and add #Lemons, #LemonSwag, and #UJealous. #MKR 🍴",Imrealwill,,,
40,2015-03-02 09:24:05+00:00,572326501678362624,hahahaha Drasko HAS to be different to everyone else’s opinion #mkr,PetaPan17,,,Melbourne
41,2015-03-02 11:59:54+00:00,572365712074792960,There's nothing sassy about a hot pot. 😝 #mkr,leesh_clair,,,"Perth, WA"
42,2015-03-02 11:30:43+00:00,572358366837661696,RT @missclarolyn: That entrée looks foul &gt;.&lt; #MKR,AutisticNickAU,,,"Perth, Western Australia"
43,2015-03-02 11:19:28+00:00,572355535002996737,RT @SueKennedy19: “@benpobjie: “And so we’ll have whittled 18 down to 14 in just a few short months” #MKR” Knife fight in the car park woul…,AutisticNickAU,,,"Perth, Western Australia"
44,2015-03-02 11:09:13+00:00,572352957938712577,"Forget #MKR, @nellskies has unveiled “The Empire State of Cheese”. #AboutTonight31",Comedy_31,,,"C31 Studios, William St, Melb"
45,2015-03-11 16:38:47+00:00,575697385864691712,RT @citywide25: #mkr  @ScreechDinero @AtlanticRecords @BadBoyRecords @CapitolRecords @ColumbiaRecords @ColumbiaUK @DefJamRecords http://t.c…,ScreechDinero,,,"Cleveland, OH"
46,2015-03-11 13:45:41+00:00,575653822334271490,Welcome back Colin. ❤️you #mkr #mkr2015,photogfrog,,,Brisbane
47,2015-03-11 13:23:56+00:00,575648350172676096,"RT @TheOnlyAnimal93: Kat and Andre are bad representatives of Perth. Non WA's, I promise most people in Perth are more like Eva &amp; Debra! #m…",meljay1314,,,Lost In Neverland
48,2015-03-11 13:20:06+00:00,575647387537948672,@TheOnlyAnimal93 But we do have Eva and Debra and they seem lovely 😊 #mkr,ChannyBH,,,Whadjuk Boodjar
49,2015-03-11 13:06:44+00:00,575644023278305280,Been dying for a 🚬 all of #MKR. #smokerlife,sarah_coma,,,
50,2015-03-11 13:03:07+00:00,575643113219190784,RT @nathanrodger: If Kat &amp; Andre were drowning in a river &amp; you only had the chance to save one of them... what type of sandwich would you …,Ryansrule,,,Australia
51,2015-03-11 13:01:34+00:00,575642721211166720,hopes Kat &amp; Andre are ashamed of themselves as they’re watching the telly tonight. #MKR,_Just,"Place(fullName='Perth, Perth (WA)', name='Perth', type='neighborhood', country='Australia', countryCode='AU')","Coordinates(longitude=115.82716608, latitude=-31.97288997)","Perth, Western Australia."
52,2015-03-11 13:00:50+00:00,575642539010617345,WHAT THE HECK!!! Kat and Andre definitely do NOT deserve to say in #mkr!! So so angry right now 😡,lexjford,,,Australia
53,2015-03-11 12:51:36+00:00,575640214082715648,RT @SevenPerth: The countdown is on until #crabfest15! See our local #MKR teams on The Good Guys Cooking stage http://t.co/McL1z1D9TC http:…,Kleenheat,,,"Perth, Western Australia"
54,2015-03-11 12:51:12+00:00,575640113583112193,#katandandre What horrible humans!! Yuck. Just watching them makes me lose my appetite.Their nastiness just oozes from their pores! #mkr 😝😝😝,Ge1shaGirl,,,Western Australia
55,2015-03-11 12:50:27+00:00,575639923455229953,RT @SimonLeong: The only thing that seems to be screwing up tonight is Kat's face @mykitchenrules #MKR #MKR2015 #waworkmates http://t.co/7I…,GazaniaSocial,,,
56,2015-03-11 12:48:17+00:00,575639379349143552,Mmmm Apple pie and icecream 🍦🍏 ...I want some. #mkr,melissajaneu,,,Australia
57,2015-03-11 12:33:28+00:00,575635651607072769,Can't sleep and came across this 😂😂😂😂 #mkr #mykitchenrules #thegoblin #mkr2015 https://t.co/whC8x5HlKX,crystal_conte,,,"Victoria, Australia"
58,2015-03-11 12:31:11+00:00,575635077515759618,“@mykitchenrules: OMG! They have been double ding-donged! #SAsweethearts #MKR http://t.co/EoE5D8xPN0” I hope u guys will win good luck,DlyanDlyanhamma,"Place(fullName='Perth, Western Australia', name='Perth (WA)', type='city', country='Australia', countryCode='AU')","Coordinates(longitude=115.83917968, latitude=-31.81390315)",
59,2015-03-11 12:19:20+00:00,575632094413516800,Don't like these girls👿 #MKR #bishes no offence girls 😋😋,kayla_ashlea,,,
60,2015-03-11 11:51:33+00:00,575625100436897792,"ah, Lincoln says he has the exact shirt like Rob's navy shirt, how funny is that? lol XD missed #mkr #RobandDave 💋💬👔✨ http://t.co/1ErMQwFeDm",sngo1982,,,
61,2015-03-11 11:49:54+00:00,575624687067078656,Kat and Andre make me want to punch happy things 😡 #mkr,kerrieehoward,,,
62,2015-03-11 11:43:25+00:00,575623055696732161,Well I wonder what coming up on MKR............. 😈#MKR #fourinhand #fourinhandhotel #colinfassnidge… https://t.co/K2ez4PK7N7,Fassnidge73,,,"Paddington, Sydney"
63,2015-03-11 11:39:27+00:00,575622058551476224,"RT @bronny25: Kat&amp;Andre Monday: ""People have voted strategically, how rude!!"" Kat&amp;Andre tonight: Votes strategically for the third time in …",Jimmbaland,,,
64,2015-03-11 11:30:01+00:00,575619683669446656,"""@_THE_DOGFATHER_: [♠️]]]] #RETWEET

[[[[♥️] FOLLOW ALL WHO RT

[♣️]]]] FOLLOWBACK
 
[[[[♦️] GAIN WITH #Mkr",bernardmuthuri,,,"Shaanxi, People's Republic of "
65,2015-03-11 11:18:20+00:00,575616741922963456,"RT @Itsjust55496420: I wasn't going to boycot MKR but the fact the Manu, Pete, the directors &amp; producers have chosen to ignore blatant stra…",GohJarrod,,,
66,2015-03-11 11:10:31+00:00,575614774563598338,Seriously can't believe Kat &amp; Andre are still in the competition 😤 #mkr,CarolineAMac,,,Australia
67,2015-03-11 11:08:57+00:00,575614381163065344,RT @ScheherazadeM: Kat &amp; Andre you ONLY got through tonight because of your scoring. Why smile? Means u can't cook u have to cheat. Sad. #m…,PeterBlahBlah,,,Gold Coast Australia
68,2015-03-11 11:07:20+00:00,575613975536099330,The sooner the better “@Rosie_Pimm: Who else is looking forward to Kat and Andre's pending elimination #mkr”,CoachGiorgio,,,Melbourne
69,2015-03-11 11:07:04+00:00,575613907240419328,@mykitchenrules Kat is a bully 😈💩and she should be disciplined!Seriously she can't cook.what a clown👎👎👎 #mkr,eathealthyfood3,,,Sydney
70,2015-03-11 11:06:54+00:00,575613866752614400,"&amp; blondes scored fairly “@K8ie_Mac: Devastated that Kat is still there, wasn't the biggest fan of blondes but liked them more than Kat #MKR”",CoachGiorgio,,,Melbourne
71,2015-03-11 11:02:16+00:00,575612699578621952,RT @Graciouswaterss: Wtf Kat and Andre are cheaters! THAT IS SO UNFAIR. THEY CANNOT GIVE SOMEONE 1. THEY SHOULD BE GONE. #mkr #katandandre …,sueymac,,,
72,2015-03-11 10:58:00+00:00,575611624876171264,"#MKR That’s rubbish. Fuck that. Don’t even want to tune in tomorrow night. 
Kat and Andre should be going home. Mongrel hypocrites.",A_Total_Spaz,,,Aussie in Canada
73,2015-03-11 10:57:59+00:00,575611620715425792,Disappointing that #katandandre made it through #MKR 😏,DanaellaWivell,,,"Townsville, Queensland"
74,2015-03-11 10:47:22+00:00,575608951238057984,Kat &amp; André your PATHETIC #nomoresoseforyou #fuckwits  #mkr,sales88194029,,,"Dunwich, Queensland"
75,2015-03-11 10:34:23+00:00,575605680515629056,MANU JUST SASSED KAT AND IT WAS THE BEST THING I'VE SEEN/HEARD. Viva la France #MKR #mkr2015  󾓧,WhimsicalWinzar,,,Australia
76,2015-03-11 10:30:37+00:00,575604732158345216,"RT @lismarie56: And a collective ""FUCK YOU"" arises from across the country. Kat, you won't last 5 minutes against the other teams #mkr2015 …",chellion,,,south australia
77,2015-03-11 10:29:27+00:00,575604441539158016,RT @colonelkickhead: Kat is going to be so smug she's going to be declared the particularly smug mayor of smugtown on the isle of smuggy #M…,GidgitVonLaRue,,,Blue Mountains
78,2015-03-11 10:28:04+00:00,575604094372442112,"Ohmigosh! Kat &amp; Andre better be the next people to leave #MKR… can’t cook, strategic scoring. Disgraceful!!!!",chellion,,,south australia
79,2015-03-11 10:27:55+00:00,575604052773376000,That's BS!!!!!! It's a cooking show! Grrrr! 😡👎 #mkr,annie_chaplin,,,"KADINA, SOUTH AUSTRALIA "
80,2015-03-11 10:25:43+00:00,575603502115786754,RT @sassystephen1: It's a FOOD competition. What if Kat and Andre cooked last and there was no opportunity for strategy? Poor sportsmanship…,togezone,,,Twinleaf Town
81,2015-03-11 10:22:26+00:00,575602674193801216,"RT @mrmaskeddows: This bitch has no right to talk about fair and has no right to celebrate, I hope that they crash and burn they don't dese…",stephfafahh,,,Woiworung/ Verdansk
82,2015-03-11 10:20:04+00:00,575602079193923584,OMG!A friggin 1!What the?Wow! The 2 of U R disgraceful with absolutely no shred of good sportsmanship or redeemable qualities! 👎😤😤😤😡👹🙌 #mkr,annie_chaplin,,,"KADINA, SOUTH AUSTRALIA "
83,2015-03-11 10:19:39+00:00,575601974332231680,OH OH OHHHH KAT AND ANDRE...GET REKED! BAM MANU! 😂😂😂😂😂 #MKR,sarajessica96,,,"Sydney, Australia"
84,2015-03-11 10:17:41+00:00,575601481425887232,"RT @allankmelb: #MKR What's with all the ""It's not what we were expecting."" Judge what's put in front of you, not what you think should hav…",Sant000000,,,"Adelaide, Australia"
85,2015-03-11 10:12:41+00:00,575600222807588864,I have heard on the grapevine that Kat &amp; Andrè are patenting all of they're recipes &amp; bring out a cook book soon...stay tuned for more  #mkr,sales88194029,,,"Dunwich, Queensland"
86,2015-03-11 10:10:24+00:00,575599648523464704,“@FakeToniaTodman: Kat and Andre are now more hated than Adam and Carol. #mkr” And that's saying something!,SueKennedy19,,,
87,2015-03-11 10:09:13+00:00,575599349977079808,“@Sam__1985: Notice we didn't see Kat and Andre in any of those cut aways?  #mkr” Yay!,SueKennedy19,,,
88,2015-03-11 10:07:58+00:00,575599033328119808,"Top comment from Eva Lean @MKR “we didn’t want to be the mean girls or the bitchy ones, we just wanted to make our families proud."" #MKR",BendItStraight,,,
89,2015-03-11 10:06:58+00:00,575598780357083137,"#MKR Kat and Andre don't like anything but yet Andrés plate was clean funny that, fuck off already guys",AutisticNickAU,,,"Perth, Western Australia"
90,2015-03-11 10:06:09+00:00,575598575335288832,“@sammyj__: Damn you Kat &amp; Andre! Hope karma comes around and bites you in the arse!!! #mkr” It will- I'm a believer in karma,SueKennedy19,,,
91,2015-03-11 10:05:26+00:00,575598398453104640,Ash is back 👏💐 #mkr http://t.co/AKeINCETnT,fabulousnwitty,,,"Brisvegas + Sydney, Australia"
92,2015-03-11 10:05:25+00:00,575598391666724864,OMG 😱 I have a feeling I’m  going to be overwhelmed 😱 by my emoticons in tomorrow’s #mkr 😱😰😅😜😀😩😨😱😱,mcsquirta,,,Sydney (ɹǝpunuʍop)
93,2015-03-11 10:05:17+00:00,575598358938566656,#mkr not sure if anyone noticed but kat and andre aren't in any of the promos...I'd say they get the boot👢pretty eay!,suzyqsmiley,,,
94,2015-03-11 10:03:43+00:00,575597965974245376,Manu just shut her up 😂🙌🙌 #mkr,kaylapara,,,"Adelaide, South Australia"
95,2015-03-11 10:02:03+00:00,575597543205175296,"#MKR Nope, fuck that bullshit…",qwertimus,,,Australia
96,2015-03-11 10:01:41+00:00,575597451060490241,Yay the Texans back! Luv that dude 😘 #mkr,Cillagirl,,,Melbourne
97,2015-03-11 10:01:36+00:00,575597431145914368,#mkr devo @EmilySymons_ . Oh  well .... Big breath and time to move on 😒,LynneMcGranger,,,Sydney
98,2015-03-11 10:00:23+00:00,575597125070798848,Yay Colin's back ☺ Nice to hear that sexy Irish accent #mkr,SharkieGirl5,,,Australia
99,2015-03-11 10:00:04+00:00,575597043982315521,cannot stand Kat on #mkr ! 😡,alissaababby,,,SYDNEY
100,2015-03-11 09:59:55+00:00,575597008326500352,"Colin looking very snazzy tonight, nice suit 👌✨#mkr @mykitchenrules @FourinHand",clovar,,,Australia
101,2015-03-11 09:59:41+00:00,575596947924373504,OH HAI ROBERT 😍 #mkr,OhEmGeeBee,,,"Mornington Peninsula, VIC"
102,2015-03-11 09:59:38+00:00,575596938206314496,Kind of sad to see the girls go 😐 kind of #mkr #mkr2015 @mykitchenrules,hazuki3,,,instagram - anniejane3
103,2015-03-11 09:59:37+00:00,575596933193977856,"sad to see the girlz go ahhhhh 👸👸 best of luck, boyz more ur thing #MKR",joannalawry,"Place(fullName='Sydney, New South Wales', name='Sydney', type='city', country='Australia', countryCode='AU')","Coordinates(longitude=151.24278742, latitude=-33.8238503)","MOSMAN, SYDNEY, NSW, AUSTRALIA"
104,2015-03-11 09:59:22+00:00,575596869138579456,#MKR Wowzas.. They aren't going home just because of strategies &amp; Krazy Kat 😼,mmilly,,,Australia
105,2015-03-11 09:58:19+00:00,575596604356427776,I don't think Kat &amp; Andre deserve to be in the competition anymore 😡 #mkr2015 #mkr,Sherbie_89,,,australia
106,2015-03-11 09:57:43+00:00,575596453021638657,We’ve just said goodbye to another team! Are you happy with tonight’s elimination result? #mkr,mykitchenrules,,,
107,2015-03-11 09:57:10+00:00,575596317931495425,I hate kat and andre 😡😒 #mkr,monster_mia,,,Wakanda
108,2015-03-11 09:56:44+00:00,575596208317562880,"maybe #mkr Katie &amp; Nikki should open an #icecream store, since it's only best thing the ppl over the dinner table. idk it could work 4 'em 💋",sngo1982,,,
109,2015-03-11 09:56:22+00:00,575596115581534209,"RT @twista202: Kat and Andre are absolutely nasty. If you wanted to stay, you should have cooked well instead of resorting to low, unfair s…",jadeelouiisee,,,"Melbourne, Victoria"
110,2015-03-11 09:56:12+00:00,575596073848172546,1⃣7⃣ from contestants jeezzz it wasn't that bad #wtf #MKR,joannalawry,"Place(fullName='Sydney, New South Wales', name='Sydney', type='city', country='Australia', countryCode='AU')","Coordinates(longitude=151.24276822, latitude=-33.82393388)","MOSMAN, SYDNEY, NSW, AUSTRALIA"
111,2015-03-11 09:55:05+00:00,575595792746049537,RT @LynneMcGranger: #mkr what are the chances of the safe teams strategically marking UP the #blondebutchers ?? I'd put my chicken's livers…,Sant000000,,,"Adelaide, Australia"
112,2015-03-11 09:54:17+00:00,575595590358192128,It would be really funny if they kicked out the 2 lowest teams as a surprise wouldn't it! 😉 #mkr #mkr2015,MsDodgyDog,,,"Sydney, Eora Nation"
113,2015-03-11 09:53:54+00:00,575595495529189378,@Forking_Awesome 😂 I was laughing at the #MKR Kat &amp; Andre hate tweets and    recognized you. We share the same hate.,philippakate89,,,"Newcastle, Australia"
114,2015-03-11 09:53:54+00:00,575595495038451712,"RT @Jeffmister: I've said it before, I'll say it again - strategic scoring should result in a penalty being apply to the offending team/s (…",arlo_dog,,,"off the leash, Sydney"
115,2015-03-13 20:57:55+00:00,576487374017826816,Scoring strategically doesn't prove you're a good cook 🍴 #mkr #katandandre @mykitchenrules,CindyTran_,"Place(fullName='Sydney, New South Wales', name='Sydney', type='city', country='Australia', countryCode='AU')","Coordinates(longitude=151.20709881, latitude=-33.88419043)",Sydney
116,2015-03-13 19:59:07+00:00,576472578769874944,😡😡 Damit!! That sucks #MKR,handlemytweeets,,,Watching TV
117,2015-03-13 11:07:28+00:00,576338783609704449,RT @YumchaAddict: mmmm Cooking Wild Duck on SBS1 now @lisamromano @heidi_han @garydlum @topdrive496 🍗🍗 #MKR #Foodie TV mmmm http://t.co/Z6E…,cantonesesosage,,,#SouthAfrica #Johannesburg 
118,2015-03-13 11:02:41+00:00,576337579936743424,RT @YumchaAddict: mmmm What are your fave #Yumcha #DimSum dumplings? LOVE Chinese #Food worldwide @binksterb @kittyholiday #MKR mmmm http:/…,cantonesesosage,,,#SouthAfrica #Johannesburg 
119,2015-03-13 09:49:11+00:00,576319082326306816,@XinhBerreman I've always wanted to use that word in a sentence Xinh!😂 #mkr,IrinaLV143,,,Wurundjeri Land ☀️🌧❄️🍂🚃
120,2015-03-13 07:06:45+00:00,576278205700517888,"Kat, maybe you should shelve that schadenfruëde towards Annie/Lloyd until you get your own judges' critiques.
#mkr #mkr2015",XinhBerreman,,,"north hollywood, california"
121,2015-03-13 06:26:42+00:00,576268126041468928,"RT @arozenbachs: Pete Evans says his critics will eat humble pie. Although the humble pie will be made from raw mammoth, acorns and grass. …",leenielouuu,,,STRAYA
122,2015-03-13 00:44:10+00:00,576181925741727744,".@larryemdur: “I just want to reach over and touch her hair…” So do we, Laz! Full video: https://t.co/5CzdotonBV #MKR http://t.co/IGSqq5JZ8j",mykitchenrules,,,
123,2015-03-12 22:05:15+00:00,576141932646158336,RT @Mamamia: Is it time for Channel 7 to reconsider their association with the dangerous man? #mmia #mkr http://t.co/8mvBYhsgV5 http://t.co…,chilichips1,,,
124,2015-03-12 19:30:24+00:00,576102962654646272,‘My Kitchen Rules’ Camping Challenge: Ash &amp; Camilla Win People’s Choice [VIDEO] http://t.co/nQ9SEvE6m7 #mkr,chelean,,,
125,2015-03-12 19:03:05+00:00,576096089956343809,RT @YumchaAddict: mmmm YUM Love @LisaMRomano's chestnut gnocchi roasted in creamy caramel http://t.co/PEwHpKEpNM #Aussie #Food @alanwphotos…,AlanWPhotos,,,"Irvine, North Ayrshire"
126,2015-03-12 15:33:02+00:00,576043229159796736,RT @YumchaAddict: mmmm YUM Love @LisaMRomano's chestnut gnocchi ready to be boiled http://t.co/ejN3CgV6Ed #Aussie #Food @JosepCarmona @firs…,JosepCarmona,,,"Barcelona, Spain "
127,2015-03-12 12:58:32+00:00,576004348179660800,'It tastes like cardboard. They made cardboard' #mkr 😂,Kimmyjsb,,,Australia
128,2015-03-12 12:41:01+00:00,575999939278311424,Haha Colin’s a crackup #mkr,harrypotter1994,,,"Perth, WA, Australia"
129,2015-03-12 12:36:12+00:00,575998725971054592,"they played ready to run on #mkr tonight, still not over it 🙈",infiniteashx,,,"Melbourne, Victoria"
130,2015-03-12 12:24:09+00:00,575995695414403072,You thought meatballs was going to win people’s choice for a brekky dish? Just coz u have it doesn’t mean everyone else does #MKR,harrypotter1994,,,"Perth, WA, Australia"
131,2015-03-12 11:45:07+00:00,575985870534127616,Never understood how people can do ikea flat pack but can’t do a tent #mkr,harrypotter1994,,,"Perth, WA, Australia"
132,2015-03-12 11:23:46+00:00,575980498004000768,"“@hosty4: Haaaaha! Good one!
But marge, I'm missing the chili cook off! #MKR http://t.co/uiDFgxnRpc”",purplequilter77,,,"Melbourne, Australia"
133,2015-03-12 11:15:53+00:00,575978511774535680,RT @TVWEEKmag: #katandandre might have to eat her words after receiving some not so great feedback on their ham and gruyere dish. #MKR #tvw…,coco_cat,,,Queensland
134,2015-03-12 11:14:14+00:00,575978099902316544,#MKR it's a fix! Kat and André not in sudden death? Wtf!?,AutisticNickAU,,,"Perth, Western Australia"
135,2015-03-12 11:08:44+00:00,575976712795656192,"#MKR I'm shocked people enjoyed Kat and Andrés bread slop, proof ppl will eat anything",AutisticNickAU,,,"Perth, Western Australia"
136,2015-03-12 10:55:15+00:00,575973320861995008,Oh Kat &amp; André when will you learn that you shouldn't go mouthing off and acting smug like you do! Biggest idiots this year. #mkr,ChantelleFrase1,,,"Gracemere, Queensland"
137,2015-03-12 10:53:30+00:00,575972880619466754,Harsh but true MT @newscomauHQ: Australia has a new ‘most hated couple’ http://t.co/gGoFvMVTEq http://t.co/9iP0tDp7mg #MKR,foodtemple,,,Australia
138,2015-03-12 10:48:07+00:00,575971524659675136,RT @TVWEEKmag: What do you think of the new judging combo? Is this the start of a beautiful bromance? #manuwho? #MKR #tvweekmag http://t.co…,Fassnidge73,,,"Paddington, Sydney"
139,2015-03-12 10:42:39+00:00,575970149578092544,RT @Kiri13: Catching up on last nights #MKR and yes Kat &amp; Andre are super annoying! 😡😤,sporkinginparis,,,
140,2015-03-12 10:38:55+00:00,575969211446534144,"RT @TwitterAU: Your #MustTweetTV tonight: #MKR (@channel7), #TheBlock (@Channel9) #ImACelebrityAU, #GoggleBoxAU (@ChannelTen) and #CWC15 (@…",shourovjeet1,,,"Dhaka , Bangladesh"
141,2015-03-12 10:30:21+00:00,575967055679127554,Can't believe that Kat and Andre are still in the competition 😳 #mkr,Glen_Noyce,,,Brisbane
142,2015-03-12 10:28:02+00:00,575966469856632832,RT @annie_chaplin: Kat &amp; Andre &amp; those high fives... I just can't... Want to throw something at the TV!! Grrrr can't believe how much she a…,Nodonn3,,,Brisbane
143,2015-03-12 10:25:45+00:00,575965899330457600,"RT @CorinnaSladey: Okay @mykitchenrules you have played with us enough , now get rid of all the useless fucks &amp; get a real cooking comp hap…",Gloryandfame68,,,"Melbourne, Victoria"
144,2015-03-12 10:25:31+00:00,575965838404009984,"RT @mykitchenrules: “Here’s the deal, cooking is cooking!” Ouch! You tell ‘em, Colin! #mkr #hungrycampers #noexcuses",michellek4020,,,
